bcsid,female,parscr,pared,eng10,maths10,isced26,isced30,nonbrit30,isced42,deg26,deg30,deg42,Mauth,Mauthw,r16,rw16,a16,aw16,lr16,a26,aw26,lr26,r30,rw30,a30,aw30,lr30,lrw30,r42,rw42,a42,aw42,lr42,lrw42,deathpen16,deathpen26,deathpen30,deathpen42,parsc,weights
B10404D,1,6,3,-0.2802384900174963,1.7081761568335885,6,6,0,6,1,1,1,0.4407755908029692,0.08472884438225953,-0.49711076111190544,-0.42857873600318586,-0.13236701897517483,-0.10736474728418734,0.46388458388136206,1.2299490868988967,0.936774520498403,0.9088031066367427,0.9617722940840496,0.5912814095129969,-0.4714502155735483,-0.12913812540275504,1.030335621343389,0.6415269572787887,0.32277739846870185,0.21497043483289202,0.27095965307525166,0.13169744623431662,1.684061133265168,1.2758372634583885,-0.32926202917619524,0.2968575259618061,-0.37855764257888896,-0.2588034219799006,6,1
B10412D,1,5,1,0.5986892760400143,1.1401049138544452,5,3,0,3,0,0,0,0.6843599929191346,0.195346122797361,-0.49711076111190544,-0.42857873600318586,0.6385060417231625,0.5375814954320819,-1.1241887663431211,0.8797200475421483,0.6724877900849816,0.9088031066367427,0.3183330832531715,0.27554513252017443,1.1765474716747306,0.6934780420386409,1.030335621343389,0.5228599280992797,-0.8235348577752856,-0.7310525440930975,0.27095965307525166,0.20892012343414915,0.9682409647631952,0.8109616483509631,0.9606304562563233,0.2968575259618061,1.1396682590567606,0.4848283387184906,5,1.234982177307387
B10414F,1,3,3,-0.044583944045555365,0.5720336708753023,2,2,0,2,0,0,0,-0.5335620176616933,-0.23820564321261128,0.6256356830041371,0.5257191178084532,-1.6741131403718494,-1.4377025356850819,-1.1241887663431211,0.8797200475421483,0.6416070606805458,0.9088031066367427,0.3183330832531715,0.1697911569577789,0.35254862805059145,0.2973030673671746,0.45487718135002075,0.3107003570192191,0.32277739846870185,0.27114784247798746,0.7373907659567726,0.4932472369756666,0.6103308805122087,0.44442074057613157,-1.6191545146087136,0.2968575259618061,0.3805553082389358,0.4848283387184906,3,1.9825651969135196
B10448R,0,3,2,1.636843086673162,1.1401049138544452,6,6,0,6,1,1,1,1.536905400325714,0.7815770056522955,-0.49711076111190544,-0.42857873600318586,1.4093791024214999,1.2229730411167075,-1.1241887663431211,-0.5211961098848453,-0.5591939145283275,-0.9064146622040575,-1.2902649438240241,-0.963859204390988,-1.0207827779896417,-0.8160682288862595,1.030335621343389,0.5801631449089101,0.32277739846870185,0.21497043483289202,-1.1283336855693102,-0.844659752036149,0.2524207962612223,0.3127605741509757,0.9606304562563233,1.037782713912455,0.3805553082389358,0.4848283387184906,3,1
B10512G,1,2,1,1.3120219557388646,-0.07719060681514686,2,2,0,2,0,0,0,0.9279443950353001,0.2528661221473287,-0.49711076111190544,-0.42857873600318586,-1.6741131403718494,-1.4377025356850819,0.46388458388136206,1.2299490868988967,0.768050490329507,0.0011942222163425851,-1.2902649438240241,-0.963859204390988,0.6272149092586378,0.4952875661685878,-1.8469565786234505,-0.9389048111751137,-0.8235348577752856,-0.674875136448002,0.7373907659567726,0.4701706467526262,-0.46339937224075056,-0.29194883878954647,-1.6191545146087136,1.037782713912455,0.3805553082389358,1.228460099416882,2,0.3237764074073261
B10518N,1,5,2,0.5986892760400143,0.6531867055866084,7+,7+,1,7+,1,1,1,0.4407755908029692,0.2715513996483511,-0.49711076111190544,-0.42857873600318586,-0.13236701897517483,-0.10736474728418734,0.46388458388136206,-0.5211961098848453,-0.30857728961311537,0.0011942222163425851,-0.9685453384085851,-0.7066617047755518,0.07788234684254437,0.09264824858461487,0.7426064013467052,0.5227694988301221,-0.2503787296532919,-0.25804105463010274,-0.6619025726877894,-0.2905043329797646,1.3261510490141817,0.9092963556835572,-0.32926202917619524,-0.44406766198884273,-0.37855764257888896,-1.7460669433766831,5,1
B10522J,1,3,3,0.7579153206156504,0.8154927750092208,7+,6,0,6,1,1,1,-0.7771464197778588,-0.28776190308915217,-0.49711076111190544,-0.42857873600318586,0.6385060417231625,0.5375814954320819,-1.1241887663431211,-0.17096707052809693,-0.03935171852342992,-0.9064146622040575,-1.2902649438240241,-0.963859204390988,-0.4714502155735483,-0.13303054683573184,-1.8469565786234505,-1.105761966595171,-0.8235348577752856,-0.7310525440930975,0.7373907659567726,0.4932472369756666,0.6103308805122087,0.4558821358000877,0.9606304562563233,0.2968575259618061,0.3805553082389358,0.4848283387184906,3,1
B10544Q,0,2,2,1.477617042097526,1.2212579485657515,7+,7+,0,7+,1,1,1,-1.8732762293006044,-0.8216272287133086,-0.49711076111190544,-0.42857873600318586,-0.13236701897517483,-0.10736474728418734,-1.1241887663431211,-1.922112267311839,-1.2019390217741692,-0.9064146622040575,-1.2902649438240241,-0.963859204390988,-2.6687804652379215,-1.640458984089821,-0.408310478640031,-0.22030401894054,-1.3966909858972794,-1.2040640335560924,-2.5276270242138716,-1.6284113219915801,-1.8950397092446962,-1.4336580199061608,-0.32926202917619524,-1.9259180378901404,-1.8967835442145384,-1.7460669433766831,2,1
B10551P,1,3,2,0.3566656882850481,-0.726414884505596,4,3,0,6,0,0,1,-0.0463932134293624,-0.06787290490176193,-0.49711076111190544,-0.42857873600318586,-0.13236701897517483,-0.14781005025254357,2.0519579341058454,-0.8714251492415938,-0.6596954554491169,-0.9064146622040575,0.3183330832531715,0.2922439300209027,-1.0207827779896417,-0.6789743287401983,-0.12058125864334658,-0.11467028776386358,0.8959335265906956,0.80033673958607765,-0.6619025726877894,-0.5603326384946316,0.9682409647631952,0.48950127853845826,0.9606304562563233,-0.44406766198884273,0.3805553082389358,0.4848283387184906,3,1
B10559X,1,2,2,0.3566656882850481,0.8154927750092208,3,3,0,3,0,0,0,-0.6553542187197764,-0.26248912756895487,-0.49711076111190544,-0.42857873600318586,-0.13236701897517483,-0.10736474728418734,-1.1241887663431211,-0.17096707052809693,-0.10024126521783822,0.0011942222163425851,-0.9685453384085851,-0.696787442105916,0.07788234684254437,0.043615990318927295,0.7426064013467052,0.5227195399727816,-0.8235348577752856,-0.7310525440930975,0.27095965307525166,0.10862085601127625,-0.10548928798976412,0.032799294838973536,-0.32926202917619524,-0.44406766198884273,0.3805553082389358,0.4848283387184906,2,0.9255348522346866
B10577Z,1,2,2,0.7579153206156504,1.2212579485657515,6,6,0,6,1,1,1,1.536905400325714,0.41899252517649394,0.6256356830041371,0.5257191178084532,1.4093791024214999,1.2229730411167075,0.46388458388136206,0.5294910081853998,0.23947702950266403,1.8164119910571428,0.6400526886686109,0.33408390989756076,0.9018811904666849,0.5703738809349703,1.8935232813334406,1.127905789337554,2.042245782834683,1.8025371261571626,0.7373907659567726,0.4932472369756666,1.3261510490141817,0.9958759841463863,0.9606304562563233,1.037782713912455,-0.37855764257888896,0.4848283387184906,2,1
B10584Y,1,3,2,1.2355934543425586,0.4908806361639962,4,5,0,5,0,0,0,-0.5335620176616933,-0.3313610383920603,1.7483821271201796,1.4800169716200922,-0.13236701897517483,-0.14781005025254357,-1.1241887663431211,-0.17096707052809693,0.012532058932913467,0.9088031066367427,-0.646825732993146,-0.6382486647285297,2.0005463152988705,1.2086178060211787,-1.2714981386300828,-0.6694420232854227,-0.2503787296532919,-0.20186364698500728,-0.19547145980626857,-0.02925380966128749,0.2524207962612223,0.17592085648808548,0.9606304562563233,-1.1849928499394917,1.1396682590567606,-1.0024351826782918,3,1.1848015145610191
B10590W,1,3,1,-0.12101244544186018,-0.158343641526453,2,2,0,2,0,0,0,1.2933209982095486,0.4955556963070212,-0.49711076111190544,-0.42857873600318586,0.6385060417231625,0.5375814954320819,2.0519579341058454,0.5294910081853998,0.2645470061163727,-0.9064146622040575,0.3183330832531715,0.2922439300209027,-0.4714502155735483,-0.27012444698179305,0.45487718135002075,0.2288339854043427,-0.2503787296532919,-0.20186364698500728,0.27095965307525166,-0.01475500163463711,-0.46339937224075056,-0.24716198447302865,0.9606304562563233,1.037782713912455,0.3805553082389358,1.228460099416882,3,0.12061666214939419
B10619S,1,3,1,-0.5986905791687684,0.24742153203007772,2,2,0,2,0,0,0,-1.020730821894025,-0.16631586926158526,-0.49711076111190544,-0.42857873600318586,-1.6741131403718494,-1.4377025356850819,-1.1241887663431211,-0.17096707052809693,-0.18707270064041828,-0.9064146622040575,-0.0033865221622675764,-0.08740634265765727,0.35254862805059145,0.12946535557007757,0.1671479613533371,0.025085743150495096,0.8959335265906956,0.7441593319409823,1.2038218788382926,0.7544977602941436,0.2524207962612223,0.07787983280130018,-1.6191545146087136,-0.44406766198884273,1.1396682590567606,1.228460099416882,3,0.34374793088702515
B10626R,0,3,2,0.5986892760400143,1.7081761568335885,3,3,0,3,0,0,0,-0.16818541448744478,-0.006944361035347572,-0.49711076111190544,-0.42857873600318586,1.4093791024214999,1.2229730411167075,-1.1241887663431211,0.17926196882865147,-0.030620453701484474,0.0011942222163425851,0.6400526886686109,0.4269886565732151,1.4512137528827775,0.8757516837029278,-0.408310478640031,-0.17211389269999197,1.4690896547126893,1.2733482290490725,-0.19547145980626857,-0.2990821151761546,0.2524207962612223,0.2177136306343969,0.9606304562563233,1.037782713912455,1.1396682590567606,1.228460099416882,3,2.3145908655960157
B10648X,1,3,1,1.3120219557388646,1.6270231221222822,2,3,0,3,0,0,0,0.07539898762872067,0.22568066798944436,-0.49711076111190544,-0.42857873600318586,-0.9032400796735122,-0.7523109900004565,-1.1241887663431211,-2.972799385382084,-2.000609965805161,-1.8140235466244576,-1.2902649438240241,-0.963859204390988,-3.7674455900701074,-2.310761552782517,-0.12058125864334658,-0.18786962317301154,-1.3966909858972794,-1.2040640335560924,-1.5947647984508304,-1.2292861330005393,-1.1792195407427235,-0.882202776335906,-1.6191545146087136,-1.9259180378901404,-1.8967835442145384,0.4848283387184906,3,2.5727897411873935
B10652T,1,4,2,1.3120219557388646,1.7893291915448946,3,3,0,3,0,0,0,-0.7771464197778588,-0.36629824322456583,-0.49711076111190544,-0.42857873600318586,-0.13236701897517483,-0.14781005025254357,0.46388458388136206,0.17926196882865147,0.16898430587184726,0.9088031066367427,-1.2902649438240241,-0.963859204390988,-0.4714502155735483,-0.38892990051320253,0.45487718135002075,0.3107003570192191,-0.8235348577752856,-0.7310525440930975,0.7373907659567726,0.4932472369756666,-0.10548928798976412,0.032799294838973536,0.9606304562563233,0.2968575259618061,0.3805553082389358,0.4848283387184906,4,4.18013836891706
B10670V,0,3,2,0.8343438220119563,0.9777988444318331,3,6,0,6,0,1,1,-0.6553542187197764,-0.38551017591681314,-0.49711076111190544,-0.42857873600318586,-0.13236701897517483,-0.10736474728418734,0.46388458388136206,0.17926196882865147,0.3027606780745067,-0.9064146622040575,-1.2902649438240241,-0.963859204390988,-1.2954490591976882,-0.7515653272396047,0.1671479613533371,-0.012205043420727826,-0.8235348577752856,-0.7310525440930975,1.2038218788382926,0.7544977602941436,-0.8213094564917369,-0.6669570616181275,-0.32926202917619524,-1.9259180378901404,-1.8967835442145384,1.228460099416882,3,1
